DMC Code,Color Name,HEX,R,G,B,C,M,Y,K
3815,Celadon Green dark,#386A57,56,106,87,47.2,0,17.9,58.4
3816,Celadon Green,#53836F,83,131,111,36.6,0,15.3,48.6
3817,Celadon Green light,#82AB96,130,171,150,24,0,12.3,32.9
3818,Emerald Green ultra very dark,#004F36,0,79,54,100,0,31.6,69
3819,Moss Green light,#B8B738,184,183,56,0,0.5,69.6,27.8
3820,Straw dark,#D6962B,214,150,43,0,29.9,79.9,16.1
3821,Straw,#E3B044,227,176,68,0,22.5,70,11
3822,Straw light,#F0C65F,240,198,95,0,17.5,60.4,5.9
3823,Yellow ultra pale,#FEEDB4,254,237,180,0,6.7,29.1,0.4
3824,Apricot light,#FFA58D,255,165,141,0,35.3,44.7,0
3825,Pumpkin pale,#FF9A63,255,154,99,0,39.6,61.2,0
3826,Golden Brown,#9C4D25,156,77,37,0,50.6,76.3,38.8
3827,Golden Brown pale,#E19858,225,152,88,0,32.4,60.9,11.8
3828,Hazelnut Brown,#A67946,166,121,70,0,27.1,57.8,34.9
3829,Old Gold very dark,#A46C2E,164,108,46,0,34.1,72,35.7
3830,Terra Cotta,#9C3A36,156,58,54,0,62.8,65.4,38.8
3831,Raspberry dark,#A8203A,168,32,58,0,81,65.5,34.1
3832,Raspberry medium,#C63850,198,56,80,0,71.7,59.6,22.4
3833,Raspberry light,#CF556A,207,85,106,0,58.9,48.8,18.8
3834,Grape dark,#5B294A,91,41,74,0,54.9,18.7,64.3
3835,Grape medium,#714061,113,64,97,0,43.4,14.2,55.7
3836,Grape light,#A26C90,162,108,144,0,33.3,11.1,36.5
3837,Lavender ultra dark,#6C3681,108,54,129,16.3,58.1,0,49.4
3838,Lavender Blue dark,#4A5CA6,74,92,166,55.4,44.6,0,34.9
3839,Lavender Blue medium,#5B70AE,91,112,174,47.7,35.6,0,31.8
3840,Lavender Blue light,#85A3CE,133,163,206,35.4,20.9,0,19.2
3841,Baby Blue pale,#9FBCCE,159,188,206,22.8,8.7,0,19.2
3842,Wedgewood dark,#0D3E6B,13,62,107,87.9,42.1,0,58
3843,Electric Blue,#0081C7,0,129,199,100,35.2,0,22
3844,Bright Turquoise dark,#0089B2,0,137,178,100,23,0,30.2
3845,Bright Turquoise medium,#009BBE,0,155,190,100,18.4,0,25.5
3846,Bright Turquoise light,#00AFD1,0,175,209,100,16.3,0,18
3847,Teal Green dark,#00504D,0,80,77,100,0,3.7,68.6
3848,Teal Green medium,#186D6A,24,109,106,78,0,2.8,57.3
3849,Teal Green light,#44918D,68,145,141,53.1,0,2.8,43.1
3850,Bright Green dark,#00856B,0,133,107,100,0,19.5,47.8
3851,Bright Green light,#009F82,0,159,130,100,0,18.2,37.6
3852,Straw very dark,#C3801B,195,128,27,0,34.4,86.2,23.5
3853,Autumn Gold dark,#D1642C,209,100,44,0,52.2,78.9,18
3854,Autumn Gold medium,#F29347,242,147,71,0,39.3,70.7,5.1
3855,Autumn Gold light,#F9C170,249,193,112,0,22.5,55,2.4
3856,Mahogany ultra very light,#E5A472,229,164,114,0,28.4,50.2,10.2
3857,Rosewood dark,#572523,87,37,35,0,57.5,59.8,65.9
3858,Rosewood medium,#753D36,117,61,54,0,47.9,53.8,54.1
3859,Rosewood light,#B26D5C,178,109,92,0,38.8,48.3,30.2
3860,Cocoa,#6F4F4B,111,79,75,0,28.8,32.4,56.5
3861,Cocoa light,#8D6C6A,141,108,106,0,23.4,24.8,44.7
3862,Mocha Beige dark,#7C553E,124,85,62,0,31.5,50,51.4
3863,Mocha Beige medium,#92694F,146,105,79,0,28.1,45.9,42.7
3864,Mocha Beige light,#B1896F,177,137,111,0,22.6,37.3,30.6
3865,Winter White,#F7F7F0,247,247,240,0,0,2.8,3.1
3866,Mocha Brown ultra very light,#DDD1BE,221,209,190,0,5.4,14,13.3
504,Blue Green Very Light,#ACDAC1,172,218,193,21.1,0,11.5,14.5
731,Olive Green Dark,#6B580B,107,88,11,0,17.8,89.7,58
776,Pink Medium,#FCA8AD,252,168,173,0,33.3,31.3,1.2
781,Topaz Very Dark,#A25F1F,162,95,31,0,41.4,80.9,36.5
806,Peacock Blue Dark,#1D6C87,29,108,135,78.5,20,0,47.1
971,Pumpkin,#FC670D,252,103,13,0,59.1,94.8,1.2
3773,Desert Sand Medium,#CF866D,207,134,109,0,35.3,47.3,18.8
