DMC Code,Color Name,HEX,R,G,B,C,M,Y,K
580,Moss Green dark,#5C5F20,92,95,32,3.2,0,66.3,62.7
581,Moss Green,#797B29,121,123,41,1.6,0,66.7,51.8
597,Turquoise,#4D929F,77,146,159,51.6,8.2,0,37.6
598,Turquoise light,#7AB2B5,122,178,181,32.6,1.7,0,29
600,Cranberry very dark,#AF0047,175,0,71,0,100,59.4,31.4
601,Cranberry dark,#C61B57,198,27,87,0,86.4,56.1,22.4
602,Cranberry medium,#D7306D,215,48,109,0,77.7,49.3,15.7
603,Cranberry,#E94F8C,233,79,140,0,66.1,39.9,8.6
604,Cranberry light,#F67AAD,246,122,173,0,50.4,29.7,3.5
605,Cranberry very light,#FE98C1,254,152,193,0,40.2,24,0.4
606,Burnt Orange-Red,#E81820,232,24,32,0,89.7,86.2,9
608,Burnt Orange,#FF4225,255,66,37,0,74.1,85.5,0
610,Drab Brown dark,#604A30,96,74,48,0,22.9,50,62.4
611,Drab Brown,#705A3D,112,90,61,0,19.6,45.5,56.1
612,Drab Brown light,#99815A,153,129,90,0,15.7,41.2,40
613,Drab Brown very light,#AC966D,172,150,109,0,12.8,36.6,32.5
632,Desert Sand ultra very dark,#723D34,114,61,52,0,46.5,54.4,55.3
640,Beige Grey very dark,#72644F,114,100,79,0,12.3,30.7,55.3
642,Beige Grey dark,#8C7D63,140,125,99,0,10.7,29.3,45.1
644,Beige Grey medium,#BAB094,186,176,148,0,5.4,20.4,27.1
645,Beaver Grey very dark,#4E5847,78,88,71,11.4,0,19.3,65.5
646,Beaver Grey dark,#696359,105,99,89,0,5.7,15.2,58.8
647,Beaver Grey medium,#7D7B70,125,123,112,0,1.6,10.4,51
648,Beaver Grey light,#98988B,152,152,139,0,0,8.6,40.4
666,Christmas Red bright,#C90023,201,0,35,0,100,82.6,21.2
676,Old Gold light,#E6B469,230,180,105,0,21.7,54.3,9.8
677,Old Gold very light,#EACF8E,234,207,142,0,11.5,39.3,8.2
680,Old Gold dark,#A67334,166,115,52,0,30.7,68.7,34.9
699,Christmas Green,#005F3D,0,95,61,100,0,35.8,62.7
700,Christmas Green bright,#00703E,0,112,62,100,0,44.6,56.1
701,Christmas Green light,#0D7338,13,115,56,88.7,0,51.3,54.9
702,Kelly Green,#34853E,52,133,62,60.9,0,53.4,47.8
703,Chartreuse,#60A746,96,167,70,42.5,0,58.1,34.5
704,Chartreuse bright,#78AD44,120,173,68,30.6,0,60.7,32.2
712,Cream,#F3E8D2,243,232,210,0,4.5,13.6,4.7
718,Plum,#A7206F,167,32,111,0,80.8,33.5,34.5
720,Orange Spice dark,#D2421B,210,66,27,0,68.6,87.1,17.6
721,Orange Spice medium,#F25C2C,242,92,44,0,62,81.8,5.1
722,Orange Spice light,#FF824A,255,130,74,0,49,71,0
725,Topaz,#FCBA40,252,186,64,0,26.2,74.6,1.2
726,Topaz light,#FFD447,255,212,71,0,16.9,72.2,0
727,Topaz very light,#FFE471,255,228,113,0,10.6,55.7,0
728,Golden Yellow,#EFAD3D,239,173,61,0,27.6,74.5,6.3
729,Old Gold medium,#C28940,194,137,64,0,29.4,67,23.9
730,Olive Green very dark,#574D20,87,77,32,0,11.5,63.2,65.9
732,Olive Green (731),#695C20,105,92,32,0,12.4,69.5,58.8
733,Olive Green medium,#988630,152,134,48,0,11.8,68.4,40.4
734,Olive Green light,#B09D47,176,157,71,0,10.8,59.7,31
738,Tan very light,#D5A978,213,169,120,0,20.7,43.7,16.5
739,Tan ultra very light,#EDCDA6,237,205,166,0,13.5,30,7.1
740,Tangerine (971),#FF6C1B,255,108,27,0,57.6,89.4,0
741,Tangerine medium,#FF8820,255,136,32,0,46.7,87.5,0
742,Tangerine light,#FFA523,255,165,35,0,35.3,86.3,0
743,Yellow medium,#FFC847,255,200,71,0,21.6,72.2,0
744,Yellow pale,#FFDE7A,255,222,122,0,12.9,52.2,0
745,Yellow light pale,#FFDF89,255,223,137,0,12.5,46.3,0
746,Off White,#FAF1C7,250,241,199,0,3.6,20.4,2
747,Sky Blue very light,#ADDBE1,173,219,225,23.1,2.7,0,11.8
754,Peach light,#F4B096,244,176,150,0,27.9,38.5,4.3
758,Terra Cotta very light,#DB917A,219,145,122,0,33.8,44.3,14.1
760,Salmon,#E5787F,229,120,127,0,47.6,44.5,10.2
761,Salmon light,#F5A3A8,245,163,168,0,33.5,31.4,3.9
762,Pearl Grey very light,#C4C5CE,196,197,206,4.9,4.4,0,19.2
772,Yellow Green very light,#C2DA97,194,218,151,11,0,30.7,14.5
775,Baby Blue very light,#B4CFDB,180,207,219,17.8,5.5,0,14.1
777,Raspberry very dark,#780D2C,120,13,44,0,89.2,63.3,52.9
778,Antique Mauve very light,#C9949E,201,148,158,0,26.4,21.4,21.2
779,Cocoa dark,#543836,84,56,54,0,33.3,35.7,67.1
780,Topaz ultra very dark,#8C4A23,140,74,35,0,47.1,75,45.1
782,Topaz dark (781),#AC6520,172,101,32,0,41.3,81.4,32.5
783,Topaz medium,#D0842C,208,132,44,0,36.5,78.8,18.4
791,Cornflower Blue very dark,#2E2960,46,41,96,52.1,57.3,0,62.4
792,Cornflower Blue dark,#3A3E82,58,62,130,55.4,52.3,0,49
793,Cornflower Blue medium,#546497,84,100,151,44.4,33.8,0,40.8
794,Cornflower Blue light,#708AB8,112,138,184,39.1,25,0,27.8
796,Royal Blue dark,#242B70,36,43,112,67.9,61.6,0,56.1
797,Royal Blue,#293A7C,41,58,124,66.9,53.2,0,51.4
798,Delft Blue dark,#3D5FA3,61,95,163,62.6,41.7,0,36.1
799,Delft Blue medium,#537BB5,83,123,181,54.1,32,0,29
800,Delft Blue pale,#8EB2D4,142,178,212,33,16,0,16.9
801,Coffee Brown dark,#573324,87,51,36,0,41.4,58.6,65.9
803,Baby Blue ultra very dark,#203660,32,54,96,66.7,43.7,0,62.4
807,Peacock Blue dark,#6D9DC7,109,157,199,45.2,21.1,0,22
809,Delft Blue,#5C92BB,92,146,187,50.8,21.9,0,26.7
813,Blue light,#95B2C9,149,178,201,25.9,11.4,0,21.2
814,Garnet dark,#5B1325,91,19,37,0,79.1,59.3,64.3
815,Garnet medium,#700D23,112,13,35,0,88.4,68.8,56.1
